Beautiful People,Chris Brown Featuring Benny Benassi,,"pop,electronic,rnb",Chris+Brown/_/Beautiful+People+(featuring+Benny+Benassi)
Under Enemy Arms,Trippie Redd,2:42,"rap,hiphop,trap,trippieredd",Trippie+Redd/_/Under+Enemy+Arms
Three Steps From The Altar,Shep And The Limelites,2:15,"oldies,doowop",Shep+&+The+Limelites/_/Three+Steps+From+The+Altar
Break Your Promise,The Delfonics,3:01,"soul,phillysoul",The+Delfonics/_/Break+Your+Promise+-+Remastered
If I Had You,Adam Lambert,3:44,"pop,dance,adamlambert,rock",Adam+Lambert/_/If+I+Had+You
When You Walk In The Room,The Searchers,2:20,"60s,oldies,british,pop",The+Searchers/_/When+You+Walk+In+the+Room
Human Nature,Glee Cast,3:24,"cover,american,00s,single,glee,10s,forever",Glee+Cast/_/Human+Nature
Just One Smile,Gene Pitney,2:42,"60s,pop,oldies,1965,aibolitsnimm2drei,aibolits1983lieblingstiere,musicor",Gene+Pitney/_/Just+One+Smile
EPMD 2,Nas Featuring Eminem & EPMD,,"hip-hop,rap,eastcoastrap,hiphop",Nas/_/EPMD+2+(featuring+Eminem+and+EPMD)
Bring It Up,James Brown And The Famous Flames,2:43,"soul,funk,rnb,funkysoul",James+Brown+&+The+Famous+Flames/_/Bring+It+Up+-+Single+Version
Take Me With U,Prince And The Revolution Duet With Apollonia,3:44,"funk,playful,soul,sexy","Prince+and+The+Revolution,+duet+with+Apollonia/_/Take+Me+With+U"
Come On And Say It,The Grass Roots,2:30,"oldies,70s,missjudy76",The+Grass+Roots/_/Come+on+and+Say+It
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,3:13,"pop,poprock,electro-folk,folk",Taylor+Swift/_/We+Are+Never+Ever+Getting+Back+Together+(Taylor%27s+Version)
Booti Call,BLACKstreet,4:30,newjackswing,Blackstreet/_/Booti+Call
Just To Be With You,The Passions,2:24,"doowop,60s",The+Passions/_/Just+to+Be+with+You
Spending My Time,Roxette,4:36,"pop,80s,rock,90s,roxette",Roxette/_/Spending+My+Time
Rock And Roll All Nite,KISS,8:55,"classicrock,hardrock,rock,70s,kiss",Kiss/_/Rock+And+Roll+All+Nite
"Boy, I've Been Told",SaFire,4:26,"freestyle,latinfreestyle",Safire/_/Boy+I%27ve+Been+Told
My Boy Lollipop,Millie Small,2:01,"ska,60s,reggae,1964",Millie+Small/_/My+Boy+Lollipop
She Didn't Do Magic/I'm The Only One,Lobo,Invalid Information,Invalid Information,Invalid Information
